feature,real_diff,synth_diff,ratio,sign_preserved,real_sep0,real_sep1,synth_sep0,synth_sep1
lactate_first,2.4209,2.4981,1.0319,True,1.7876,4.2085,1.7196,4.2177
anion_gap_first,2.259,1.9023,0.8421,True,7.4928,9.7518,7.4783,9.3805
ddimer_max,2.2457,2.5904,1.1535,True,1.5161,3.7619,1.5664,4.1568
sodium_max,2.233,2.1883,0.98,True,139.0767,141.3097,139.0633,141.2516
ddimer_mean,2.1624,2.1081,0.9749,True,1.4678,3.6302,1.4513,3.5594
ddimer_first,2.1581,2.189,1.0143,True,1.4526,3.6107,1.4323,3.6212
lactate_mean,2.136,2.1018,0.984,True,1.6888,3.8249,1.7048,3.8066
ddimer_min,2.0833,1.6761,0.8045,True,1.4118,3.4951,1.3418,3.0178
anion_gap_mean,1.9781,1.9577,0.9897,True,7.0881,9.0661,7.0318,8.9895
resp_rate_mean,-1.9282,-1.9102,0.9907,True,32.7395,30.8113,32.7998,30.8896
sodium_trend,1.9131,1.87,0.9775,True,-0.7047,1.2084,-0.7228,1.1472
albumin_max,-1.8955,-1.8782,0.9909,True,35.9539,34.0585,36.449,34.5707
resp_rate_max,-1.8906,-1.968,1.041,True,37.5693,35.6787,37.7491,35.781
albumin_first,-1.8881,-1.9199,1.0168,True,35.8722,33.9841,35.8466,33.9266
albumin_mean,-1.888,-1.8994,1.006,True,35.8521,33.9641,35.8423,33.9429
albumin_min,-1.8805,-1.9326,1.0277,True,35.7503,33.8698,35.2318,33.2992
bicarbonate_first,-1.8505,-1.637,0.8847,True,21.6371,19.7867,21.5388,19.9018
resp_rate_min,-1.7869,-1.7865,0.9998,True,29.5481,27.7612,29.3233,27.5368
urea_max,1.616,1.8313,1.1332,True,3.9918,5.6079,4.1891,6.0204
base_excess_mean,-1.5644,-1.52,0.9716,True,-2.4185,-3.9829,-2.4047,-3.9247
resp_rate_first,-1.5641,-1.7445,1.1154,True,32.2066,30.6425,32.3516,30.6071
urea_mean,1.5308,1.4898,0.9732,True,3.9145,5.4453,3.8559,5.3457
urea_first,1.506,1.5173,1.0075,True,3.9324,5.4384,3.8508,5.3681
spo2_lab_mean,-1.4977,-1.2942,0.8641,True,95.8024,94.3047,95.5322,94.238
urea_min,1.4427,1.1295,0.7829,True,3.8217,5.2645,3.5508,4.6802
systolic_bp_min,1.4058,1.9185,1.3647,True,95.2599,96.6657,93.5876,95.506
systolic_bp_first,1.3858,0.8843,0.6381,True,99.9152,101.301,99.7118,100.5961
systolic_bp_max,1.3687,0.7119,0.5201,True,101.1566,102.5253,102.7594,103.4713
systolic_bp_mean,1.3293,1.1955,0.8993,True,99.2971,100.6265,99.2992,100.4946
base_excess_trend,1.327,0.5642,0.4251,True,1.5208,2.8478,2.239,2.8031
hemoglobin_min,-1.1698,-1.1537,0.9862,True,7.6636,6.4937,7.6267,6.473
bicarbonate_mean,-1.1551,-1.347,1.1661,True,22.1582,21.0031,22.212,20.865
hematocrit_max,-1.1464,-1.2209,1.0649,True,37.8064,36.6599,37.8463,36.6254
wbc_max,1.1305,1.4816,1.3106,True,13.3462,14.4767,13.5182,14.9998
lactate_min,1.021,0.9926,0.9722,True,1.2502,2.2712,1.2443,2.2369
wbc_first,0.9656,-0.3077,-0.3187,False,11.1968,12.1624,11.7198,11.412
map_min,0.9656,0.6369,0.6595,True,69.4903,70.4559,68.5552,69.192
hemoglobin_mean,-0.9577,-0.8841,0.9231,True,9.5048,8.547,9.4516,8.5675
pco2_mean,0.922,1.5973,1.7324,True,37.8344,38.7564,37.4142,39.0115
map_mean,0.9035,0.7795,0.8627,True,72.2757,73.1793,72.2166,72.9961
sodium_min,-0.884,-1.4581,1.6495,True,135.1474,134.2634,135.1183,133.6602
map_max,0.8742,1.1041,1.263,True,74.2691,75.1433,75.1473,76.2514
map_first,0.8669,0.9552,1.1019,True,73.1204,73.9873,72.7607,73.7159
glucose_min,0.7925,0.4236,0.5345,True,105.4445,106.237,105.2609,105.6845
n_cultures_24h,0.7906,0.7426,0.9393,True,3.6884,4.479,3.6598,4.4024
diastolic_bp_min,0.7708,-0.3055,-0.3963,False,55.8341,56.6049,55.1242,54.8187
hemoglobin_first,-0.7387,-0.8141,1.102,True,8.679,7.9403,9.0598,8.2457
diastolic_bp_mean,0.712,0.7335,1.0302,True,58.308,59.02,58.1375,58.871
wbc_mean,0.7013,0.1174,0.1674,True,11.7641,12.4654,11.9489,12.0663
n_positive_cultures,0.6767,0.7868,1.1626,True,2.3638,3.0405,2.3699,3.1566
wbc_trend,-0.6651,-0.7432,1.1174,True,1.3643,0.6992,1.3485,0.6053
hemoglobin_trend,-0.6485,-0.6561,1.0117,True,1.3396,0.6911,1.3299,0.6738
diastolic_bp_first,0.6369,0.8289,1.3015,True,59.0071,59.644,58.5017,59.3306
diastolic_bp_max,0.6339,1.628,2.5682,True,60.8755,61.5094,61.5298,63.1578
n_antibiotics_24h,0.6161,0.7504,1.218,True,2.3883,3.0043,2.2379,2.9883
sodium_mean,0.6147,0.6963,1.1328,True,137.1513,137.7659,137.1338,137.8301
age_years,0.5698,0.5593,0.9814,True,2.819,3.3888,2.8119,3.3711
lactate_trend,-0.5563,-0.5897,1.0599,True,-0.2914,-0.8478,-0.2942,-0.8839
resp_rate_trend,-0.4594,-0.313,0.6813,True,0.2235,-0.2359,0.1473,-0.1657
heart_rate_max,0.4555,0.0868,0.1905,True,144.8195,145.275,145.435,145.5218
anion_gap_min,0.4366,0.6796,1.5567,True,5.0744,5.511,4.7954,5.475
inr_max,0.4212,0.4566,1.084,True,1.0811,1.5023,1.082,1.5386
urine_output_total_ml,-0.4167,-0.2814,0.6754,True,5.3646,4.9479,5.5118,5.2303
hemoglobin_max,-0.4019,-0.4397,1.094,True,12.1052,11.7033,12.129,11.6894
inr_first,0.3737,0.3589,0.9604,True,1.0719,1.4456,1.0575,1.4164
heart_rate_mean,0.3573,0.6642,1.859,True,131.2882,131.6455,130.9129,131.5771
anc_max,0.3461,-0.0011,-0.0032,False,9.161,9.5071,9.7037,9.7026
inr_mean,0.3348,0.3341,0.998,True,1.0638,1.3986,1.0565,1.3906
bicarbonate_max,0.3172,0.3601,1.1354,True,24.1152,24.4324,24.1043,24.4644
wbc_min,0.2979,-0.3278,-1.1006,False,10.1745,10.4724,9.8119,9.4841
bilirubin_max,0.2913,0.3681,1.2638,True,1.8692,2.1605,1.9961,2.3643
bilirubin_first,0.2704,0.2303,0.8515,True,1.6933,1.9637,1.6551,1.8853
inr_min,0.262,0.2211,0.8437,True,1.0447,1.3067,1.033,1.2541
sodium_first,-0.2524,0.2108,-0.8354,False,137.3812,137.1288,137.2527,137.4636
bilirubin_mean,0.2511,0.1775,0.707,True,1.7316,1.9827,1.7073,1.8848
potassium_min,-0.2504,-0.2598,1.0376,True,3.5456,3.2952,3.544,3.2841
alc_first,0.2357,0.1391,0.5901,True,2.5781,2.8138,2.419,2.5581
alc_min,-0.2189,-0.1353,0.618,True,2.2366,2.0177,2.0884,1.9532
potassium_max,0.2161,0.2127,0.9841,True,4.143,4.359,4.1395,4.3522
bilirubin_min,0.206,0.0872,0.4231,True,1.6037,1.8097,1.4382,1.5253
calcium_max,0.1748,0.1736,0.9926,True,1.7563,1.9312,1.7559,1.9295
creatinine_max,0.1552,0.1672,1.0777,True,0.5798,0.7349,0.5912,0.7584
anc_min,-0.1533,-0.3708,2.4195,True,6.6246,6.4713,6.5054,6.1345
creatinine_mean,0.1403,0.1141,0.8131,True,0.556,0.6963,0.5411,0.6552
creatinine_first,0.1343,0.1231,0.9165,True,0.5433,0.6776,0.5375,0.6606
pco2_first,-0.1305,-0.4789,3.6704,True,39.5465,39.4161,38.6385,38.1596
creatinine_min,0.1255,0.089,0.7086,True,0.5329,0.6585,0.5033,0.5922
base_excess_max,0.1149,0.0411,0.3575,True,-0.7041,-0.5891,-0.5472,-0.5061
urine_output_per_hour,-0.1134,-0.1402,1.2367,True,0.4618,0.3484,0.5096,0.3693
spo2_lab_max,0.0994,0.167,1.68,True,98.0363,98.1357,98.0971,98.2642
alc_max,0.0955,0.1158,1.212,True,2.9936,3.0891,2.9928,3.1086
calcium_min,-0.0882,-0.0883,1.0012,True,1.1235,1.0353,1.1222,1.0339
anc_mean,0.0851,0.2562,3.0104,True,7.8904,7.9755,7.7141,7.9703
ph_min,-0.0785,-0.0779,0.9922,True,7.3418,7.2633,7.3407,7.2629
alc_mean,-0.0746,-0.272,3.6484,True,2.6172,2.5427,2.6216,2.3496
temperature_max,0.061,0.065,1.0663,True,37.2364,37.2974,37.2462,37.3112
potassium_trend,-0.0589,-0.0262,0.4444,True,0.1152,0.0563,0.0751,0.0489
calcium_mean,-0.0551,-0.0578,1.0481,True,1.3583,1.3032,1.3552,1.2974
bilirubin_trend,-0.0503,-0.0398,0.7923,True,0.0863,0.036,0.0774,0.0376
calcium_first,-0.0488,-0.0403,0.8248,True,1.2037,1.1549,1.2004,1.1601
inr_trend,-0.046,-0.052,1.1307,True,-0.0554,-0.1014,-0.056,-0.108
spo2_trend,-0.0457,-0.0495,1.0822,True,-0.0092,-0.055,-0.0091,-0.0586
spo2_min,0.0401,-0.0373,-0.9288,False,99.6531,99.6932,99.6315,99.5942
ph_first,-0.0394,-0.0486,1.2318,True,7.3626,7.3232,7.3756,7.327
heart_rate_min,-0.0355,0.2333,-6.5655,False,119.131,119.0955,118.4313,118.6646
anc_first,-0.0345,-1.1322,32.8296,True,7.5648,7.5303,8.3484,7.2162
heart_rate_first,0.034,-0.2534,-7.4594,False,133.1093,133.1433,133.0868,132.8334
fibrinogen_min,-0.0336,-0.1241,3.6903,True,2.0572,2.0236,1.9919,1.8679
potassium_mean,-0.0334,-0.0091,0.2724,True,3.8371,3.8037,3.826,3.817
spo2_first,0.0325,-0.1096,-3.3752,False,99.7678,99.8003,99.8428,99.7332
temperature_trend,-0.0322,-0.0366,1.1369,True,0.525,0.4928,0.5243,0.4877
ph_mean,-0.0312,-0.0328,1.0499,True,7.386,7.3548,7.3871,7.3543
fibrinogen_first,-0.0298,-0.0126,0.4226,True,2.0662,2.0363,2.0567,2.0441
temperature_first,0.0295,0.0999,3.3888,True,36.5734,36.6029,36.575,36.6749
fibrinogen_mean,-0.0215,-0.0286,1.3298,True,2.0847,2.0632,2.0758,2.0472
heart_rate_trend,-0.0163,-0.0973,5.9545,True,-2.3339,-2.3502,-2.3721,-2.4694
temperature_min,-0.0152,-0.0265,1.7402,True,36.2986,36.2834,36.2851,36.2586
creatinine_trend,0.0144,0.0178,1.2339,True,0.0178,0.0322,0.0103,0.0281
shock_index,-0.0143,-0.0173,1.2059,True,1.3231,1.3087,1.3219,1.3045
fibrinogen_max,-0.0105,0.0708,-6.717,False,2.113,2.1024,2.1732,2.2439
temperature_mean,0.0062,0.0232,3.7318,True,36.8479,36.8542,36.8336,36.8569
spo2_mean,0.0057,0.0147,2.5516,True,99.7592,99.7649,99.7916,99.8063
potassium_first,0.0039,-0.0069,-1.7701,False,3.788,3.7919,3.8265,3.8196
ph_max,0.0028,-0.0054,-1.929,False,7.4276,7.4304,7.4354,7.43
ph_trend,-0.0021,-0.0188,8.9069,True,0.0519,0.0497,0.0677,0.0489
spo2_max,0.0002,-0.0004,-2.4113,False,99.832,99.8321,99.9304,99.93
