feature,real_diff,synth_diff,ratio,sign_preserved,real_sep0,real_sep1,synth_sep0,synth_sep1
ddimer_first,2.1581,2.1308,0.9874,True,1.4526,3.6107,1.4429,3.5737
lactate_mean,2.136,2.1228,0.9938,True,1.6888,3.8249,1.695,3.8177
ddimer_min,2.0833,2.0333,0.976,True,1.4118,3.4951,1.4,3.4333
anion_gap_mean,1.9781,1.844,0.9322,True,7.0881,9.0661,7.194,9.0379
resp_rate_mean,-1.9282,-1.9466,1.0096,True,32.7395,30.8113,32.7224,30.7758
sodium_trend,1.9131,1.3761,0.7193,True,-0.7047,1.2084,-0.2289,1.1472
albumin_max,-1.8955,-1.8891,0.9966,True,35.9539,34.0585,35.9577,34.0686
resp_rate_max,-1.8906,-1.9356,1.0238,True,37.5693,35.6787,37.5467,35.6111
albumin_first,-1.8881,-1.9051,1.009,True,35.8722,33.9841,35.8581,33.953
albumin_mean,-1.888,-1.9035,1.0082,True,35.8521,33.9641,35.839,33.9355
albumin_min,-1.8805,-1.9217,1.0219,True,35.7503,33.8698,35.7231,33.8014
bicarbonate_first,-1.8505,-2.0363,1.1005,True,21.6371,19.7867,21.6353,19.5989
resp_rate_min,-1.7869,-1.819,1.0179,True,29.5481,27.7612,29.5257,27.7067
urea_max,1.616,1.7087,1.0573,True,3.9918,5.6079,3.9686,5.6773
base_excess_mean,-1.5644,-1.5452,0.9877,True,-2.4185,-3.9829,-2.3856,-3.9307
resp_rate_first,-1.5641,-1.5255,0.9753,True,32.2066,30.6425,32.1421,30.6166
urea_mean,1.5308,1.5177,0.9915,True,3.9145,5.4453,3.8764,5.3941
urea_first,1.506,1.5033,0.9982,True,3.9324,5.4384,3.8951,5.3984
spo2_lab_mean,-1.4977,-1.6718,1.1162,True,95.8024,94.3047,95.9158,94.244
urea_min,1.4427,1.3969,0.9682,True,3.8217,5.2645,3.7713,5.1682
systolic_bp_min,1.4058,1.3428,0.9552,True,95.2599,96.6657,95.175,96.5178
systolic_bp_first,1.3858,1.3041,0.941,True,99.9152,101.301,99.8809,101.1849
systolic_bp_max,1.3687,1.2876,0.9407,True,101.1566,102.5253,101.172,102.4595
systolic_bp_mean,1.3293,1.2589,0.947,True,99.2971,100.6265,99.2709,100.5299
base_excess_trend,1.327,1.2914,0.9732,True,1.5208,2.8478,1.5117,2.8031
hemoglobin_min,-1.1698,-1.1955,1.022,True,7.6636,6.4937,7.6306,6.435
bicarbonate_mean,-1.1551,-1.2717,1.1009,True,22.1582,21.0031,22.1237,20.8521
hematocrit_max,-1.1464,-1.2355,1.0776,True,37.8064,36.6599,37.8486,36.6131
wbc_max,1.1305,1.3479,1.1924,True,13.3462,14.4767,13.3954,14.7433
lactate_min,1.021,1.0105,0.9898,True,1.2502,2.2712,1.2539,2.2644
wbc_first,0.9656,1.0355,1.0723,True,11.1968,12.1624,11.2838,12.3192
map_min,0.9656,0.82,0.8492,True,69.4903,70.4559,69.4633,70.2833
hemoglobin_mean,-0.9577,-0.9451,0.9869,True,9.5048,8.547,9.4787,8.5336
pco2_mean,0.922,0.7242,0.7854,True,37.8344,38.7564,37.8316,38.5558
map_mean,0.9035,0.8788,0.9726,True,72.2757,73.1793,72.2512,73.1299
sodium_min,-0.884,-0.9149,1.035,True,135.1474,134.2634,135.1339,134.219
map_max,0.8742,0.921,1.0535,True,74.2691,75.1433,74.2392,75.1602
map_first,0.8669,0.8191,0.9449,True,73.1204,73.9873,73.0704,73.8895
glucose_min,0.7925,-0.38,-0.4795,False,105.4445,106.237,105.5875,105.2074
n_cultures_24h,0.7906,0.7426,0.9393,True,3.6884,4.479,3.6598,4.4024
diastolic_bp_min,0.7708,0.716,0.9289,True,55.8341,56.6049,55.7751,56.491
hemoglobin_first,-0.7387,-0.7622,1.0318,True,8.679,7.9403,8.6729,7.9106
diastolic_bp_mean,0.712,0.665,0.934,True,58.308,59.02,58.2796,58.9445
wbc_mean,0.7013,0.8773,1.251,True,11.7641,12.4654,11.7916,12.6689
n_positive_cultures,0.6767,0.6268,0.9262,True,2.3638,3.0405,2.3351,2.9619
wbc_trend,-0.6651,-0.7432,1.1174,True,1.3643,0.6992,1.3485,0.6053
hemoglobin_trend,-0.6485,-0.6561,1.0117,True,1.3396,0.6911,1.3299,0.6738
diastolic_bp_first,0.6369,0.6079,0.9544,True,59.0071,59.644,58.9465,59.5544
diastolic_bp_max,0.6339,0.6066,0.9569,True,60.8755,61.5094,60.8789,61.4855
n_antibiotics_24h,0.6161,0.5076,0.8239,True,2.3883,3.0043,2.3771,2.8847
sodium_mean,0.6147,0.5829,0.9484,True,137.1513,137.7659,137.1651,137.748
age_years,0.5698,0.5593,0.9814,True,2.819,3.3888,2.8119,3.3711
lactate_trend,-0.5563,-0.5897,1.0599,True,-0.2914,-0.8478,-0.2942,-0.8839
resp_rate_trend,-0.4594,0.6241,-1.3585,False,0.2235,-0.2359,-0.9005,-0.2765
heart_rate_max,0.4555,0.5269,1.1569,True,144.8195,145.275,144.7854,145.3123
anion_gap_min,0.4366,0.3242,0.7426,True,5.0744,5.511,5.1556,5.4798
inr_max,0.4212,0.4276,1.0151,True,1.0811,1.5023,1.0742,1.5018
urine_output_total_ml,-0.4167,6.6607,-15.9844,False,5.3646,4.9479,3.9545,10.6152
hemoglobin_max,-0.4019,-0.3555,0.8846,True,12.1052,11.7033,12.0709,11.7154
inr_first,0.3737,0.3797,1.0159,True,1.0719,1.4456,1.0633,1.443
heart_rate_mean,0.3573,0.3349,0.9373,True,131.2882,131.6455,131.2466,131.5815
anc_max,0.3461,0.1219,0.3524,True,9.161,9.5071,9.2168,9.3387
inr_mean,0.3348,0.3286,0.9815,True,1.0638,1.3986,1.059,1.3876
bicarbonate_max,0.3172,0.2225,0.7016,True,24.1152,24.4324,24.0755,24.298
wbc_min,0.2979,0.4375,1.4687,True,10.1745,10.4724,10.1831,10.6205
bilirubin_max,0.2913,0.2827,0.9707,True,1.8692,2.1605,1.8578,2.1406
bilirubin_first,0.2704,0.2597,0.9603,True,1.6933,1.9637,1.6654,1.9251
inr_min,0.262,0.2488,0.9495,True,1.0447,1.3067,1.0408,1.2896
sodium_first,-0.2524,-0.2134,0.8455,True,137.3812,137.1288,137.3741,137.1607
bilirubin_mean,0.2511,0.2172,0.8648,True,1.7316,1.9827,1.7116,1.9288
potassium_min,-0.2504,-0.2333,0.9316,True,3.5456,3.2952,3.5485,3.3152
alc_first,0.2357,0.186,0.7891,True,2.5781,2.8138,2.5646,2.7505
alc_min,-0.2189,-0.2313,1.0566,True,2.2366,2.0177,2.2154,1.9841
potassium_max,0.2161,0.2252,1.0422,True,4.143,4.359,4.1466,4.3718
bilirubin_min,0.206,0.1726,0.8377,True,1.6037,1.8097,1.5765,1.7491
calcium_max,0.1748,0.1693,0.9682,True,1.7563,1.9312,1.7593,1.9286
creatinine_max,0.1552,0.1655,1.0664,True,0.5798,0.7349,0.5721,0.7376
anc_min,-0.1533,-0.3944,2.573,True,6.6246,6.4713,6.6657,6.2713
creatinine_mean,0.1403,0.1471,1.0485,True,0.556,0.6963,0.5472,0.6944
creatinine_first,0.1343,0.1233,0.9183,True,0.5433,0.6776,0.5376,0.6609
pco2_first,-0.1305,-0.7003,5.367,True,39.5465,39.4161,39.5052,38.8049
creatinine_min,0.1255,0.1144,0.9114,True,0.5329,0.6585,0.5224,0.6368
base_excess_max,0.1149,0.135,1.1743,True,-0.7041,-0.5891,-0.6834,-0.5484
urine_output_per_hour,-0.1134,-0.0526,0.4637,True,0.4618,0.3484,0.3286,0.276
spo2_lab_max,0.0994,0.0423,0.4253,True,98.0363,98.1357,98.0948,98.1371
alc_max,0.0955,0.0399,0.4183,True,2.9936,3.0891,2.9992,3.0391
calcium_min,-0.0882,-0.0885,1.0037,True,1.1235,1.0353,1.1247,1.0362
anc_mean,0.0851,-0.1384,-1.6259,False,7.8904,7.9755,7.935,7.7966
ph_min,-0.0785,-0.0734,0.9353,True,7.3418,7.2633,7.3421,7.2687
alc_mean,-0.0746,-0.1069,1.4335,True,2.6172,2.5427,2.6087,2.5018
temperature_max,0.061,0.0586,0.9613,True,37.2364,37.2974,37.235,37.2936
potassium_trend,-0.0589,-0.064,1.0854,True,0.1152,0.0563,0.1128,0.0489
calcium_mean,-0.0551,-0.0515,0.9333,True,1.3583,1.3032,1.3589,1.3075
bilirubin_trend,-0.0503,-0.0606,1.2061,True,0.0863,0.036,0.0822,0.0215
calcium_first,-0.0488,-0.0491,1.0062,True,1.2037,1.1549,1.2054,1.1563
inr_trend,-0.046,-0.052,1.1307,True,-0.0554,-0.1014,-0.056,-0.108
spo2_trend,-0.0457,0.0092,-0.202,False,-0.0092,-0.055,-0.0213,-0.0121
spo2_min,0.0401,0.0311,0.7751,True,99.6531,99.6932,99.6463,99.6774
ph_first,-0.0394,-0.0359,0.9112,True,7.3626,7.3232,7.3635,7.3276
heart_rate_min,-0.0355,-0.2069,5.821,True,119.131,119.0955,119.0809,118.874
anc_first,-0.0345,-0.278,8.0608,True,7.5648,7.5303,7.6133,7.3353
heart_rate_first,0.034,-0.0996,-2.9329,False,133.1093,133.1433,133.0945,132.9949
fibrinogen_min,-0.0336,-0.0401,1.1935,True,2.0572,2.0236,2.051,2.0108
potassium_mean,-0.0334,-0.0191,0.5714,True,3.8371,3.8037,3.8417,3.8227
spo2_first,0.0325,0.0229,0.7064,True,99.7678,99.8003,99.7727,99.7957
temperature_trend,-0.0322,-0.0355,1.1036,True,0.525,0.4928,0.5233,0.4877
ph_mean,-0.0312,-0.0278,0.8893,True,7.386,7.3548,7.386,7.3582
fibrinogen_first,-0.0298,-0.0346,1.1587,True,2.0662,2.0363,2.0633,2.0287
temperature_first,0.0295,0.0246,0.8337,True,36.5734,36.6029,36.5722,36.5968
fibrinogen_mean,-0.0215,-0.0264,1.2258,True,2.0847,2.0632,2.0822,2.0558
heart_rate_trend,-0.0163,-0.0973,5.9545,True,-2.3339,-2.3502,-2.3721,-2.4694
temperature_min,-0.0152,-0.0201,1.3199,True,36.2986,36.2834,36.2963,36.2762
creatinine_trend,0.0144,0.0217,1.5071,True,0.0178,0.0322,0.0093,0.031
shock_index,-0.0143,-0.0173,1.2059,True,1.3231,1.3087,1.3219,1.3045
fibrinogen_max,-0.0105,-0.0132,1.2524,True,2.113,2.1024,2.1141,2.1009
temperature_mean,0.0062,0.0041,0.6535,True,36.8479,36.8542,36.8459,36.85
spo2_mean,0.0057,0.0132,2.3,True,99.7592,99.7649,99.7588,99.772
potassium_first,0.0039,0.0228,5.8336,True,3.788,3.7919,3.7852,3.8081
ph_max,0.0028,0.0045,1.6108,True,7.4276,7.4304,7.4273,7.4318
ph_trend,-0.0021,-0.0027,1.2959,True,0.0519,0.0497,0.0516,0.0489
spo2_max,0.0002,0.0085,55.6877,True,99.832,99.8321,99.8366,99.8451
