number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_class_weight_pos,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
15,0.9996850045389347,2026-04-22 01:22:40.669244,2026-04-22 01:24:56.209727,0 days 00:02:15.540483,0.45232631287760844,147,2.5879861179483363,7,1211,2.490006532468401,0.040052536889978334,0.026587440312503968,COMPLETE
16,0.9996749096990163,2026-04-22 01:24:56.209727,2026-04-22 01:26:07.799183,0 days 00:01:11.589456,0.9978101641761487,130,1.5414144873178455,5,1419,2.52063393091608,0.03305522462432077,0.6024878182656372,COMPLETE
17,0.9997811695587139,2026-04-22 01:26:07.799183,2026-04-22 01:26:55.978677,0 days 00:00:48.179494,0.7219454805607028,159,2.4658844435339122,5,1180,2.298135492731724,0.08850818956967794,1.4539295035760889,COMPLETE
18,0.9995270461206036,2026-04-22 01:26:55.978677,2026-04-22 01:28:46.865729,0 days 00:01:50.887052,0.504623190902364,198,3.1770669204240374,7,1303,2.7007907283849777,0.17206049075285185,1.498154502998752,COMPLETE
19,0.9993078247112479,2026-04-22 01:28:46.866748,2026-04-22 01:34:47.069935,0 days 00:06:00.203187,0.9143095461647209,239,3.425781946578801,8,1497,3.9270692755900662,0.03593125411138952,1.4922766196125352,COMPLETE
20,0.9997506820351125,2026-04-22 01:34:47.069935,2026-04-22 01:36:01.640111,0 days 00:01:14.570176,0.6861624644835769,163,4.081064156630326,6,1113,2.102423850000441,0.07684007670476012,1.1849677819484286,COMPLETE
21,0.9997545893880291,2026-04-22 01:36:01.641123,2026-04-22 01:36:39.522221,0 days 00:00:37.881098,0.7358050725693913,122,2.447398986038445,5,1139,1.0126561885804863,0.10053515403869097,0.9561631021841125,COMPLETE
22,0.9996322528839825,2026-04-22 01:36:39.522221,2026-04-22 01:37:06.520978,0 days 00:00:26.998757,0.8446846799097477,147,2.357368126177174,5,1326,1.8637262276525177,0.19486652454884848,1.5859895990719426,COMPLETE
23,0.9997283027908574,2026-04-22 01:37:06.520978,2026-04-22 01:37:47.248497,0 days 00:00:40.727519,0.6882400547905904,154,1.8993072058675613,5,1159,3.266824703203736,0.09079625068809012,0.40785779732627825,COMPLETE
24,0.9996243020588687,2026-04-22 01:37:47.248497,2026-04-22 01:38:32.562732,0 days 00:00:45.314235,0.5706319955396453,82,2.9350034615994005,6,995,4.684839690263648,0.12721775944255465,0.7842949167345034,COMPLETE
25,0.999755552251972,2026-04-22 01:38:32.562732,2026-04-22 01:39:24.558741,0 days 00:00:51.996009,0.4611767557695122,181,2.5741533686538616,5,874,1.7207960855660476,0.05045510343946425,1.314047976083498,COMPLETE
26,0.9997529836370269,2026-04-22 01:39:24.559977,2026-04-22 01:40:33.645077,0 days 00:01:09.085100,0.883372139111039,178,1.8735443226486008,6,1073,3.0171931862257475,0.0762308930712982,0.029553898489232462,COMPLETE
27,0.9993210323758728,2026-04-22 01:40:33.645077,2026-04-22 01:42:48.800502,0 days 00:02:15.155425,0.7274785831226054,117,3.5298333257109475,8,1229,1.5652968726169012,0.21375818114814507,1.697997981017127,COMPLETE
28,0.9997446147691198,2026-04-22 01:42:48.800502,2026-04-22 01:43:33.438029,0 days 00:00:44.637527,0.6651746294259464,219,2.82066750774158,5,1369,2.084146003655028,0.13341138321602286,1.0027671992032756,COMPLETE
29,0.9993396017198389,2026-04-22 01:43:33.439117,2026-04-22 01:44:41.766401,0 days 00:01:08.327284,0.5055760137439237,138,2.329588589152582,7,800,6.552449660206348,0.28262944880737034,0.31107382461066135,COMPLETE
30,0.9997100381137178,2026-04-22 01:44:41.767402,2026-04-22 01:45:28.950467,0 days 00:00:47.183065,0.3727272264068343,59,2.522578265897983,4,1483,4.268103064092376,0.04185536488542971,0.554258874887208,COMPLETE
31,0.9994574185904284,2026-04-22 01:45:28.950467,2026-04-22 01:46:21.382903,0 days 00:00:52.432436,0.43710666582007407,179,2.6381417506090186,5,850,1.5515134500739736,0.026071290818225647,1.2946203992836518,COMPLETE
32,0.9997129003240435,2026-04-22 01:46:21.382903,2026-04-22 01:47:18.771326,0 days 00:00:57.388423,0.6342416920483137,190,2.0576635733156587,5,946,2.1597253611612572,0.046874916285241056,1.3422879130414325,COMPLETE
33,0.999742421497892,2026-04-22 01:47:18.771326,2026-04-22 01:47:49.330588,0 days 00:00:30.559262,0.5300355649284627,160,3.0716412571305005,4,690,3.046954767891595,0.06527864685720294,1.1562058990282331,COMPLETE
34,0.999734213547827,2026-04-22 01:47:49.331126,2026-04-22 01:48:44.957521,0 days 00:00:55.626395,0.8008110309557501,174,2.3016422615084466,6,1017,1.6225910208938819,0.0972028102497172,1.4570293857821524,COMPLETE
35,0.9996635456552669,2026-04-22 01:48:44.957521,2026-04-22 01:49:20.635766,0 days 00:00:35.678245,0.20635269289608954,100,1.7389897709848041,5,733,5.866025190866053,0.05437649067251232,0.2360116301086822,COMPLETE
36,0.9996610455722278,2026-04-22 01:49:20.635766,2026-04-22 01:49:41.872293,0 days 00:00:21.236527,0.7394707511449449,86,2.8422131908966333,4,548,3.4569021071068486,0.06983271890512488,1.7128693288285255,COMPLETE
37,0.9996251514923123,2026-04-22 01:49:41.873293,2026-04-22 01:50:48.877361,0 days 00:01:07.004068,0.6052602153635901,153,2.0803549508376444,7,901,2.6497629948093007,0.12010808029027047,0.39067893319368674,COMPLETE
38,0.9997704918052437,2026-04-22 01:50:48.878867,2026-04-22 01:51:54.915904,0 days 00:01:06.037037,0.3189789280779268,126,2.5543086440453373,6,1140,1.5205202412686625,0.050983470623975506,0.10952428746473576,COMPLETE
39,0.9997811727131213,2026-04-22 01:51:54.915904,2026-04-22 01:52:40.293232,0 days 00:00:45.377328,0.11701807267787595,127,2.224939296299578,6,1180,1.047455990283008,0.08880179490508538,0.1348206729636483,COMPLETE
40,0.9996345661112394,2026-04-22 01:52:40.294738,2026-04-22 01:53:15.223343,0 days 00:00:34.928605,0.17234938188793603,103,2.2186781432670273,7,1221,1.1840971142294971,0.150767463183431,0.2149348657653945,COMPLETE
41,0.9997275731561726,2026-04-22 01:53:15.224351,2026-04-22 01:54:12.409705,0 days 00:00:57.185354,0.06954388488749297,126,2.737351398524442,6,1155,2.250474272071555,0.08509241424162908,0.105294402099242,COMPLETE
42,0.9997933066826009,2026-04-22 01:54:12.409705,2026-04-22 01:54:58.543542,0 days 00:00:46.133837,0.001983553921253156,114,2.4164762707307212,6,1306,1.4869835140711294,0.10423710086491393,0.02167555262025646,COMPLETE
43,0.9997253376354129,2026-04-22 01:54:58.545568,2026-04-22 01:55:42.210704,0 days 00:00:43.665136,0.02368147602300663,111,2.1471457914435885,6,1323,1.36395208161713,0.10317915625384044,0.006861313194623197,COMPLETE
44,0.9996192205141504,2026-04-22 01:55:42.210704,2026-04-22 01:56:47.436308,0 days 00:01:05.225604,0.0014500117927535028,143,1.74920636444272,7,1265,1.0773753951867242,0.1087615676311348,0.1750661119494331,COMPLETE
45,0.9996328541512824,2026-04-22 01:56:47.436308,2026-04-22 01:57:10.676161,0 days 00:00:23.239853,0.11986324035926961,86,4.900758467712877,6,1424,1.9088556102709302,0.17650073875391886,0.31767102741282227,COMPLETE
46,0.9996603689351989,2026-04-22 01:57:10.676161,2026-04-22 01:57:52.346780,0 days 00:00:41.670619,0.24150046728322316,135,2.387623089593934,5,1070,9.197447294088327,0.135289423830977,1.945138263763336,COMPLETE
47,0.9996931207376398,2026-04-22 01:57:52.346780,2026-04-22 01:58:58.547150,0 days 00:01:06.200370,0.06609044510157747,111,2.0100235316709094,6,1368,2.920776912781005,0.05920584001001466,0.005177805722664169,COMPLETE
48,0.998519138440631,2026-04-22 01:58:58.548150,2026-04-22 02:07:40.295410,0 days 00:08:41.747260,0.1014561503014682,166,2.9634644195126914,10,1216,2.33537311731088,0.09435309031177332,0.4636979832812367,COMPLETE
49,0.9997253762689778,2026-04-22 02:07:40.295410,2026-04-22 02:08:09.073300,0 days 00:00:28.777890,0.847467665420062,67,2.7216576632245117,4,1273,7.067641817209545,0.08549618084266217,0.2648799279051228,COMPLETE
